author,year,title,journal,volume,issue,pages,first_page,last_page,doi,url,annotation,keywords,notes,raw_publication_info
"Colton, Alyssa B",2004,From trauma to (re)birth: The birth story as a site of transformation,JAC: Journal of Advanced Composition,24,3,679-704,679,704,,,,"trauma, rhetoric, narrative, transformative",,"*JAC: Journal of Advanced Composition 24.3*, 679-704"
"Mehta, Brinda J",2004,The female body under siege: The trauma of occupation in Liana Badr's 'The Eye of the Mirror',JAC: Journal of Advanced Composition,24,3,705-725,705,725,,,,"trauma, rhetoric, women, body, Liana Badr, female, occupational",,"*JAC: Journal of Advanced Composition 24.3*, 705-725"
"Eppert, Claudia",2004,Leslie Silko's 'Ceremony': Rhetorics of ethical reading and composition,JAC: Journal of Advanced Composition,24,3,727-754,727,754,,,,"trauma, rhetoric, Leslie Silko, Ceremony, ethical, reading",,"*JAC: Journal of Advanced Composition 24.3*, 727-754"
"Newcomb, Matthew J",2004,Taking attendance: Absent writing and the value of suffering,JAC: Journal of Advanced Composition,24,3,755-784,755,784,,,,"trauma, rhetoric, suffering, attendance",,"*JAC: Journal of Advanced Composition 24.3*, 755-784"
"Hesford, Wendy S",2004,Rhetorical projections and silences [book review],JAC: Journal of Advanced Composition,24,3,785-797,785,797,,,,"'Teaching to Transcend: Educating Women Against Violence', Cheryl Sattler, 'Women Escaping Violence: Empowerment Through Narrative', Elaine Lawless, 'Too Scared to Learn: Women, Violence, and Education', Jenny Horsman, projection, silence, rhetorical",,"*JAC: Journal of Advanced Composition 24.3*, 785-797"
"Crawford, Ilene",2004,'Cultural Traumas: Slavery and the Formation of African American Identity' [book review],JAC: Journal of Advanced Composition,24,3,799-803,799,803,,,,"'Cultural Traumas: Slavery and the Formation of African American Identity', Ron Eyerman, identity",,"*JAC: Journal of Advanced Composition 24.3*, 799-803"
"Rickert, Thomas; David Blakesley",2004,An interview with Mark C. Taylor,JAC: Journal of Advanced Composition,24,4,805-819,805,819,,,,"Complexity-theory; Taylor, Mark C.",,"*JAC: Journal of Advanced Composition 24.4*, 805-819"
"Blakesley, David; Thomas Rickert",2004,From nodes to nets: Our emerging culture of complex interactive networks,JAC: Journal of Advanced Composition,24,4,821-830,821,830,,,,"Complexity-theory, interactive",,"*JAC: Journal of Advanced Composition 24.4*, 821-830"
"Hawk, Byron",2004,Toward a rhetoric of network (media) culture: Notes on polarities and potentiality,JAC: Journal of Advanced Composition,24,4,831-850,831,850,,,,"complexity-theory, media network, cultural, polarity, potentiality, future",,"*JAC: Journal of Advanced Composition 24.4*, 831-850"
"Muckelbauer, John; Tim Donovan",2004,To do justice to this moment: Between exhaustion and totality,JAC: Journal of Advanced Composition,24,4,851-870,851,870,,,,"complexity-theory, totality",,"*JAC: Journal of Advanced Composition 24.4*, 851-870"
"Wyschogrod, Edith",2004,Networking the unpredictable: The lure of complexity,JAC: Journal of Advanced Composition,24,4,871-879,871,879,,,,"Complexity-theory, unpredictability",,"*JAC: Journal of Advanced Composition 24.4*, 871-879"
"Johnston, John",2004,Network theory and life on the internet,JAC: Journal of Advanced Composition,24,4,881-899,881,899,,,,"Complexity-theory, internet",,"*JAC: Journal of Advanced Composition 24.4*, 881-899"
"Rickert, Thomas",2004,In the house of doing: Rhetoric and the kairos of ambience,JAC: Journal of Advanced Composition,24,4,901-927,901,927,,,,"Complexity-theory, activity-theory, kairos, contextual",,"*JAC: Journal of Advanced Composition 24.4*, 901-927"
"Bay, Jennifer L",2004,Screening (in)formation: Bodies and writing in network culture,JAC: Journal of Advanced Composition,24,4,929-946,929,946,,,,"Complexity-theory, body",,"*JAC: Journal of Advanced Composition 24.4*, 929-946"
"Harper, M. Todd",2004,Strange loops as (inter)disciplinary ecriture and invention,JAC: Journal of Advanced Composition,24,4,947-954,947,954,,,,"Complexity-theory, interdisciplinary, invention, ecriture",,"*JAC: Journal of Advanced Composition 24.4*, 947-954"
